iteration,reward_mean,length_mean,games,loss
500,-0.89,2.11,9,0.027677591890096664
1000,-1.0,2.0,8,0.01986893266439438
1500,-1.0,2.0,12,0.010774187743663788
2000,-1.0,2.0,8,0.011872449889779091
2500,-1.0,2.0,9,0.0043606236577034
3000,-1.0,2.0,8,0.006390780676156282
3500,-1.0,2.0,9,0.004224224481731653
4000,-1.0,2.0,10,0.0011869469890370965
4500,-0.88,2.12,8,0.004080023616552353
5000,-0.89,2.11,9,0.0016551673179492354
5500,-1.0,2.0,8,0.004477088339626789
6000,-1.0,2.0,8,0.0022097991313785315
6500,-1.0,2.0,9,0.009123902767896652
7000,-1.0,2.0,8,0.002871018135920167
7500,-1.0,2.0,8,0.002442104509100318
8000,-0.78,2.22,9,0.0019831927493214607
8500,-1.0,2.0,8,0.004833327140659094
9000,-0.88,2.12,8,0.00662275031208992
9500,-1.0,2.0,8,0.00435360474511981
10000,-1.0,2.0,10,0.0030340291559696198
10500,-1.0,2.0,9,0.0019397689029574394
11000,-1.0,2.0,8,0.0036582043394446373
11500,-1.0,2.0,8,0.0018514017574489117
12000,-1.0,2.0,8,0.004380776546895504
12500,-1.0,2.0,8,0.0051478915847837925
13000,-1.0,2.0,8,0.0023741459008306265
13500,-0.88,2.12,8,0.006609980016946793
14000,-0.89,2.11,9,0.005915386602282524
14500,-0.88,2.12,8,0.0027297097258269787
15000,-0.56,2.0,9,0.0018438169499859214
15500,-0.22,2.33,9,0.001893667969852686
16000,-0.44,2.0,9,0.0026074484921991825
16500,-1.0,2.0,8,0.0026910798624157906
17000,-0.12,2.0,8,0.0025557009503245354
17500,0.12,2.12,8,0.003787345252931118
18000,-0.22,2.33,9,0.003063236828893423
18500,-0.56,2.0,9,0.0035844086669385433
19000,-0.25,2.12,8,0.009896878153085709
19500,-0.6,2.0,10,0.009289543144404888
20000,-0.25,2.0,8,0.0037039241287857294
20500,-0.12,2.12,8,0.005535117816179991
21000,-0.44,2.0,9,0.0036581240128725767
21500,-0.33,2.0,9,0.008453626185655594
22000,-0.38,2.0,8,0.010633813217282295
22500,0.0,2.0,8,0.009741710498929024
23000,-0.25,2.0,8,0.008416423574090004
23500,-0.25,2.0,8,0.004820013884454966
24000,-0.12,2.0,8,0.003125659190118313
24500,0.0,2.12,8,0.0043862140737473965
25000,-0.11,2.11,9,0.0029403939843177795
25500,0.0,2.0,8,0.006017617881298065
26000,0.0,2.0,8,0.0043458351865410805
26500,0.0,2.0,8,0.0021379052195698023
27000,0.0,2.0,8,0.0057144733145833015
27500,0.0,2.0,8,0.013939479365944862
28000,0.0,2.0,8,0.0007829850073903799
28500,-0.12,2.12,8,0.00737822987139225
29000,-0.22,2.11,9,0.0016167425783351064
29500,0.0,2.0,8,0.003327991347759962
30000,0.0,2.0,8,0.00797563698142767
30500,0.12,2.12,8,0.0007292259251698852
31000,0.12,2.12,8,0.0038342271000146866
31500,-0.12,2.0,8,0.0006701583042740822
32000,0.12,2.25,8,0.00421379366889596
32500,0.0,2.33,9,0.005318406969308853
33000,0.38,2.5,8,0.005791568197309971
33500,0.5,2.5,8,0.001259550335817039
34000,0.25,2.5,8,0.0036252206191420555
34500,0.12,2.25,8,0.006782520562410355
35000,0.12,2.25,8,0.0019899357575923204
35500,0.38,2.38,8,0.006946418434381485
36000,0.12,2.25,8,0.003895567264407873
36500,0.12,2.12,8,0.005581362172961235
37000,0.62,2.88,8,0.012356667779386044
37500,0.25,2.38,8,0.002023975132033229
38000,0.38,2.38,8,0.0006475734990090132
38500,0.25,2.25,8,0.0013887826353311539
39000,0.38,2.38,8,0.0037989120464771986
39500,0.25,2.25,8,0.0010736153926700354
40000,0.12,2.12,8,0.001568620908074081
40500,0.38,2.38,8,0.0042959642596542835
41000,0.12,2.25,8,0.0016035058069974184
41500,0.12,2.12,8,0.002513258485123515
42000,0.38,2.38,8,0.001870082225650549
42500,0.12,2.12,8,0.0024127508513629436
43000,0.62,2.75,8,0.0022562353406101465
43500,0.25,2.25,8,0.002997615607455373
44000,0.5,2.62,8,0.0006128593813627958
44500,0.5,2.62,8,0.003620526986196637
45000,0.62,2.62,8,0.0023056205827742815
45500,0.38,2.38,8,0.001077097374945879
46000,0.88,3.12,8,0.000998954987153411
46500,0.62,2.75,8,0.0018016264075413346
47000,0.75,2.75,8,0.00325563782826066
47500,0.62,2.62,8,0.0012382755521684885
48000,1.0,3.12,8,0.0028712484054267406
48500,0.38,2.5,8,0.007529843132942915
49000,0.62,2.75,8,0.003721290733665228
49500,0.25,2.25,8,0.0015071399975568056
50000,0.62,2.75,8,0.0069340430200099945
50500,0.62,2.75,8,0.0021647147368639708
51000,1.11,3.56,9,0.008614237420260906
51500,0.75,2.75,8,0.0008250914397649467
52000,0.38,2.5,8,0.0010741158621385694
52500,0.75,2.75,8,0.002447150181978941
53000,0.12,2.12,8,0.0042648171074688435
53500,0.38,2.38,8,0.007590823341161013
54000,1.0,3.12,8,0.0068093277513980865
54500,0.89,3.22,9,0.00260952883400023
55000,1.25,3.62,8,0.0014567801263183355
55500,0.5,2.5,8,0.0036573903635144234
56000,0.78,3.0,9,0.001912224804982543
56500,1.7,4.2,10,0.002329457551240921
57000,0.89,3.11,9,0.002660942729562521
57500,2.62,5.62,8,0.007449799217283726
58000,1.38,3.75,8,0.004991941619664431
58500,1.25,3.5,8,0.00631833728402853
59000,0.88,3.25,8,0.006670316681265831
59500,1.67,4.11,9,0.004275946877896786
60000,1.1,3.6,10,0.0033720030914992094
60500,1.5,4.0,12,0.002517061773687601
61000,1.5,4.1,10,0.003878278424963355
61500,1.67,4.11,9,0.012770822271704674
62000,1.92,4.5,12,0.004422050900757313
62500,1.12,3.38,8,0.005297298077493906
63000,1.6,4.2,10,0.0032840552739799023
63500,0.62,2.75,8,0.009773202240467072
64000,1.42,4.0,12,0.004001331049948931
64500,2.12,5.12,8,0.013945480808615685
65000,1.44,3.78,9,0.009868324734270573
65500,2.62,5.62,8,0.008937439881265163
