iteration,reward_mean,length_mean,games,loss
2000,-1.0,2.0,8,0.09613346308469772
4000,-0.55,2.09,11,0.04869162663817406
6000,0.0,2.0,8,0.018530432134866714
8000,0.0,2.12,8,0.024312496185302734
10000,0.0,2.0,8,0.00521851796656847
12000,0.0,2.0,8,0.01342666707932949
14000,0.38,2.5,8,0.011930692009627819
16000,0.5,2.5,8,0.005083245225250721
18000,0.25,2.25,8,0.009288366883993149
20000,0.62,2.62,8,0.012183265760540962
22000,1.11,3.33,9,0.003320945892482996
24000,1.0,3.0,8,0.0048323096707463264
26000,2.25,5.25,8,0.008519642986357212
28000,2.5,5.5,8,0.0035627279430627823
30000,2.62,5.62,8,0.0032995762303471565
32000,2.36,5.0,11,0.006790940184146166
34000,2.5,5.5,8,0.006441635079681873
36000,3.12,6.12,8,0.007870614528656006
38000,3.25,6.25,8,0.006166508421301842
40000,2.38,5.38,8,0.012458529323339462
42000,3.38,6.38,8,0.007640525233000517
44000,3.62,6.62,8,0.006805244367569685
46000,3.62,6.62,8,0.012431675568223
48000,2.75,5.75,8,0.008956805802881718
50000,2.75,5.75,8,0.012007377110421658
52000,2.62,5.62,8,0.008242701180279255
54000,3.88,6.88,8,0.0065554226748645306
56000,2.62,5.62,8,0.0062521714717149734
58000,3.12,6.12,8,0.010082395747303963
60000,2.75,5.75,8,0.013404466211795807
62000,4.0,7.0,8,0.006711244583129883
64000,4.38,7.38,8,0.00859147123992443
66000,2.38,5.38,8,0.009635154157876968
68000,3.25,6.25,8,0.006905137095600367
70000,3.12,6.12,8,0.005476217716932297
72000,4.25,7.25,8,0.012632576748728752
74000,3.62,6.62,8,0.012092985212802887
76000,3.75,6.75,8,0.011034426279366016
78000,4.5,7.5,8,0.013223397545516491
80000,3.25,6.25,8,0.004321504384279251
82000,3.25,6.25,8,0.009280003607273102
84000,3.62,6.62,8,0.006434445269405842
86000,4.62,7.62,8,0.006625167094171047
88000,3.75,6.75,8,0.00425752904266119
90000,2.56,5.56,9,0.00652989512309432
92000,3.0,6.0,8,0.005498864687979221
94000,3.75,6.75,8,0.006542084272950888
96000,3.25,6.25,8,0.008954505436122417
98000,5.25,8.25,8,0.002944937441498041
100000,2.88,5.88,8,0.009818242862820625
102000,2.62,5.62,8,0.011838898994028568
104000,3.38,6.38,8,0.006970988120883703
106000,3.62,6.62,8,0.009335048496723175
108000,2.88,5.88,8,0.009223617613315582
110000,2.75,5.75,8,0.013332773931324482
112000,5.5,8.5,8,0.0036103236488997936
114000,5.0,8.0,10,0.004686214029788971
116000,5.78,8.78,9,0.008488609455525875
118000,2.5,5.5,8,0.05856594070792198
120000,3.67,6.67,9,0.011472167447209358
122000,5.0,8.0,8,0.010053467005491257
124000,2.88,5.88,8,0.007877985015511513
126000,2.56,5.56,9,0.02190103568136692
128000,4.56,7.56,9,0.010766670107841492
130000,5.88,8.88,8,0.011197044514119625
132000,4.78,7.78,9,0.02011667564511299
134000,3.38,6.38,8,0.007212316617369652
136000,5.25,8.25,8,0.013338773511350155
138000,5.0,8.0,8,0.007832406088709831
140000,2.5,5.5,8,0.010840893723070621
142000,4.62,7.62,8,0.005406556185334921
144000,4.62,7.62,8,0.0039005358703434467
146000,7.12,10.12,8,0.00848817266523838
148000,5.62,8.62,8,0.009035639464855194
150000,7.25,10.25,8,0.009871110320091248
152000,6.25,9.25,8,0.0077837007120251656
154000,3.75,6.75,8,0.010970737785100937
156000,4.0,7.0,9,0.009350046515464783
158000,5.12,8.12,8,0.0064651211723685265
160000,7.5,10.5,8,0.00959137361496687
162000,4.0,7.0,8,0.005486059933900833
164000,7.44,10.44,9,0.015205677598714828
166000,4.88,7.88,8,0.010709729045629501
168000,4.62,7.62,8,0.012489600107073784
170000,6.12,9.12,8,0.006598250009119511
172000,10.25,13.25,8,0.011742535047233105
174000,7.12,10.12,8,0.005399287678301334
176000,8.12,11.12,8,0.013362044468522072
178000,5.5,8.5,8,0.012401736341416836
180000,5.12,8.12,8,0.006928976625204086
182000,9.75,12.75,8,0.012697121128439903
184000,6.62,9.62,8,0.014959612861275673
186000,11.5,14.5,8,0.005588973872363567
188000,7.25,10.25,8,0.03264114260673523
190000,5.38,8.38,8,0.01345307007431984
192000,7.75,10.75,8,0.06322009861469269
194000,12.88,15.88,8,0.00626995088532567
196000,4.75,7.75,8,0.009308667853474617
198000,8.62,11.62,8,0.047815825790166855
200000,9.88,12.88,8,0.013286122120916843
202000,7.75,10.75,8,0.010114166885614395
204000,6.75,9.75,8,0.009387562051415443
206000,6.62,9.62,8,0.03397031128406525
208000,7.75,10.75,8,0.017156537622213364
210000,9.67,12.67,9,0.012903164140880108
212000,9.25,12.25,8,0.008265266194939613
214000,9.25,12.25,8,0.026215944439172745
216000,11.88,14.88,8,0.013001819141209126
218000,7.75,10.75,8,0.011183632537722588
220000,11.25,14.25,8,0.011812424287199974
222000,7.12,10.12,8,0.009831303730607033
224000,12.5,15.5,8,0.011992927640676498
226000,11.12,14.12,8,0.016660571098327637
228000,7.12,10.12,8,0.017919175326824188
