iteration,reward_mean,length_mean,games,loss
2000,-1.0,2.0,8,0.02199384942650795
4000,-1.0,2.0,9,0.009610936045646667
6000,-0.89,2.11,9,0.014395570382475853
8000,-0.12,2.0,8,0.008600641041994095
10000,0.0,2.0,8,0.003301247488707304
12000,0.0,2.0,8,0.007753732614219189
14000,0.12,2.12,8,0.012546434067189693
16000,0.0,2.0,8,0.003636507550254464
18000,0.0,2.12,8,0.0008865116978995502
20000,0.0,2.0,8,0.0007058403571136296
22000,0.0,2.0,8,0.0033106012269854546
24000,0.0,2.0,8,0.002535441890358925
26000,0.38,2.38,8,0.0018373384373262525
28000,1.0,3.25,8,0.0024872291833162308
30000,0.75,2.75,8,0.003532136557623744
32000,0.5,2.5,8,0.0022324160672724247
34000,0.12,2.12,8,0.002941833809018135
36000,0.88,3.0,8,0.0016525002429261804
38000,1.0,3.0,8,0.002606928115710616
40000,1.0,3.22,9,0.0033502052538096905
42000,0.75,2.75,8,0.0029870164580643177
44000,1.33,3.67,9,0.0021562736947089434
46000,0.75,2.75,8,0.0022712729405611753
48000,1.0,3.12,8,0.003086016047745943
50000,2.64,5.27,11,0.001214033691212535
52000,2.62,5.62,8,0.003717995248734951
54000,2.88,5.88,8,0.006720919162034988
56000,2.33,5.33,9,0.002266086870804429
58000,2.38,5.38,8,0.002666542772203684
60000,2.25,5.25,8,0.005214246921241283
62000,2.67,5.67,9,0.0013126389821991324
64000,2.5,5.5,8,0.002708653686568141
66000,3.12,6.12,8,0.002753167413175106
68000,2.5,5.5,8,0.001357942121103406
70000,2.75,5.75,8,0.005866775289177895
72000,2.75,5.75,8,0.00316798803396523
74000,2.12,5.12,8,0.0040743653662502766
76000,2.44,5.44,9,0.003138661850243807
78000,4.88,7.88,8,0.0024976630229502916
80000,3.38,6.38,8,0.014121796935796738
82000,3.25,6.25,8,0.0036208597011864185
84000,3.12,6.12,8,0.004974089562892914
86000,2.75,5.75,8,0.001468899310566485
88000,2.75,5.75,8,0.0038337300065904856
90000,2.5,5.5,8,0.0024146614596247673
92000,2.5,5.5,8,0.003007636871188879
94000,3.0,6.0,9,0.0022915052250027657
96000,4.38,7.38,8,0.006976423319429159
98000,2.62,5.62,8,0.00493966368958354
100000,3.0,6.0,8,0.0022454308345913887
102000,2.88,5.88,8,0.0021279267966747284
104000,3.5,6.5,8,0.0030501866713166237
106000,4.12,7.12,8,0.0016274959780275822
108000,4.0,7.0,8,0.002912388648837805
110000,3.44,6.44,9,0.004360798746347427
112000,3.75,6.75,8,0.012992186471819878
114000,3.75,6.75,8,0.0022043853532522917
116000,2.88,5.88,8,0.002600665669888258
118000,3.62,6.62,8,0.016232185065746307
120000,3.75,6.75,8,0.00226160092279315
122000,3.5,6.5,8,0.001559337368234992
124000,2.62,5.62,8,0.002854923252016306
126000,6.0,9.0,8,0.0027883686125278473
128000,4.75,7.75,8,0.0025848373770713806
130000,6.62,9.62,8,0.004087108187377453
132000,6.25,9.25,8,0.0031673589255660772
134000,4.25,7.25,8,0.001347059616819024
136000,3.62,6.62,8,0.002745061181485653
138000,3.62,6.62,8,0.015331821516156197
140000,5.88,8.88,8,0.0021870688069611788
142000,5.0,8.0,8,0.0032480652444064617
