iteration,reward_mean,length_mean,games,loss
2000,-1.0,2.0,10,0.08210023492574692
4000,-0.75,2.25,8,0.05376538634300232
6000,-0.12,2.12,8,0.04114000126719475
8000,0.12,2.12,8,0.01307228859513998
10000,0.12,2.12,8,0.03745487704873085
12000,0.0,2.0,8,0.0054497262462973595
14000,0.25,2.25,8,0.016866568475961685
16000,0.0,2.0,8,0.01458682306110859
18000,0.5,2.5,8,0.008630338124930859
20000,0.5,2.5,8,0.004270242527127266
22000,1.38,3.38,8,0.0033076521940529346
24000,1.75,4.33,12,0.005729770753532648
26000,1.5,3.9,10,0.004972257651388645
28000,2.25,5.25,8,0.005767730996012688
30000,3.88,6.88,8,0.004816712811589241
32000,1.9,4.3,10,0.004175675101578236
34000,2.62,5.62,8,0.00563439354300499
36000,2.75,5.75,8,0.006462899036705494
38000,4.12,7.12,8,0.008144739083945751
40000,2.62,5.62,8,0.0038915982004255056
42000,3.0,6.0,9,0.04752977937459946
44000,3.12,6.12,8,0.009295511059463024
46000,2.5,5.5,8,0.007995519787073135
48000,3.0,6.0,8,0.006253114901483059
50000,3.88,6.88,8,0.011896008625626564
52000,4.11,7.11,9,0.006565370596945286
54000,3.25,6.25,8,0.0073646181263029575
56000,4.5,7.5,8,0.017179271206259727
58000,3.12,6.12,8,0.010882649570703506
60000,2.5,5.5,8,0.005182383116334677
62000,2.88,5.88,8,0.00686843553557992
64000,2.4,5.4,10,0.012106210924685001
66000,2.88,5.88,8,0.011200901120901108
68000,3.12,6.12,8,0.007905226200819016
70000,2.38,5.38,8,0.006040249485522509
72000,3.0,6.0,8,0.007062461227178574
74000,3.0,6.0,8,0.005087452009320259
76000,2.88,5.88,8,0.00359920272603631
78000,3.75,6.75,8,0.00706055574119091
80000,2.75,5.75,8,0.0028024455532431602
82000,4.12,7.12,8,0.004449077416211367
84000,3.0,6.0,9,0.008314347825944424
86000,3.38,6.38,8,0.008138110861182213
88000,2.88,5.88,8,0.010502639226615429
90000,2.62,5.62,8,0.003992712590843439
92000,3.25,6.25,8,0.007094800006598234
94000,5.0,8.0,8,0.010704122483730316
96000,3.62,6.62,8,0.01072649285197258
98000,5.38,8.38,8,0.007874165661633015
100000,3.0,6.0,8,0.013699091970920563
102000,3.88,6.88,8,0.005981266964226961
104000,2.75,5.75,8,0.007671779952943325
106000,6.0,9.0,8,0.0067336224019527435
108000,4.44,7.44,9,0.017132671549916267
110000,6.12,9.12,8,0.01258090976625681
112000,3.75,6.75,8,0.011392755433917046
114000,3.5,6.5,8,0.012746416963636875
116000,2.75,5.75,8,0.012658588588237762
118000,3.12,6.12,8,0.0055252728052437305
120000,6.25,9.25,8,0.007722077891230583
122000,5.75,8.75,8,0.06542680412530899
124000,4.12,7.12,8,0.011491036973893642
126000,7.25,10.25,8,0.0128508061170578
128000,3.62,6.62,8,0.0043701366521418095
130000,3.38,6.38,8,0.010285140946507454
132000,5.12,8.12,8,0.005560019984841347
134000,4.88,7.88,8,0.012681260704994202
136000,6.11,9.11,9,0.005060270894318819
138000,4.75,7.75,8,0.008139933459460735
140000,5.75,8.75,8,0.0034900656901299953
142000,8.25,11.25,8,0.010125959292054176
144000,4.88,7.88,8,0.004402780439704657
146000,5.0,8.0,8,0.008783412165939808
148000,7.0,10.0,8,0.008162369020283222
150000,6.75,9.75,8,0.008012542501091957
152000,6.25,9.25,8,0.009623918682336807
154000,8.5,11.5,8,0.010015239007771015
156000,6.62,9.62,8,0.004218020010739565
158000,6.0,9.0,8,0.013906384818255901
160000,6.88,9.88,8,0.005196848418563604
162000,4.88,7.88,8,0.012403531931340694
164000,10.11,13.11,9,0.007683847565203905
166000,9.38,12.38,8,0.008109929971396923
168000,6.25,9.25,8,0.010482771322131157
170000,8.25,11.25,8,0.010158504359424114
